Data_x,Recurso_x,Máquina_x,Produzido_x,id_x,count_x,id2,Data_y,Recurso_y,Máquina_y,Produzido_y,id_y,count_y
28/02/2023,029520 ,Montagem,1,28/02/2023029520Montagem1,1.0,28/02/2023029520Montagem11,28/02/2023,029520,Montagem,1,28/02/2023029520Montagem1,1.0
28/02/2023,031254 ,Montagem,9,28/02/2023031254Montagem9,1.0,28/02/2023031254Montagem91,28/02/2023,031254,Montagem,9,28/02/2023031254Montagem9,1.0
28/02/2023,031255 ,Montagem,9,28/02/2023031255Montagem9,1.0,28/02/2023031255Montagem91,28/02/2023,031255,Montagem,9,28/02/2023031255Montagem9,1.0
,,,,,,28/02/2023032099Corte62,28/02/2023,032099,Corte,6,28/02/2023032099Corte6,2.0
,,,,,,28/02/2023459690Corte92,28/02/2023,459690,Corte,9,28/02/2023459690Corte9,2.0
,,,,,,28/02/2023022263Corte132,28/02/2023,022263,Corte,13,28/02/2023022263Corte13,2.0
,,,,,,28/02/2023483023Corte52,28/02/2023,483023,Corte,5,28/02/2023483023Corte5,2.0
,,,,,,28/02/2023425760Corte1302,28/02/2023,425760,Corte,130,28/02/2023425760Corte130,2.0
,,,,,,28/02/2023031487Corte11,28/02/2023,031487,Corte,1,28/02/2023031487Corte1,1.0
,,,,,,28/02/2023410718Estamparia171,28/02/2023,410718,Estamparia,17,28/02/2023410718Estamparia17,1.0
